StockCode,CurrentPrice,OptimalPrice,PriceChange(%),CurrentQuantity,EstimatedQuantity,CurrentRevenue,EstimatedRevenue,RevenueGain,RevenueGain(%),Elasticity
84805B,1.25,1.67,33.33,24,67,30.0,111.67,81.67,272.22,-7.5
21398,0.39,0.54,37.27,3,208,1.17,111.35,110.18,9417.28,-8.6
90146,3.75,5.0,33.33,9,20,33.75,100.0,66.25,196.3,-7.0
23240,4.15,3.32,-20.0,6,30,24.9,99.6,74.7,300.0,-8.39
84857C,1.95,2.31,18.39,9,43,17.55,99.27,81.72,465.63,-6.49
23066,8.25,6.6,-20.0,2,15,16.5,99.0,82.5,500.0,-8.73
23080,8.25,6.6,-20.0,1,15,8.25,99.0,90.75,1100.0,-9.03
84686,0.79,2.36,198.99,25,41,19.75,96.84,77.09,390.34,-8.6
23049,8.25,6.6,-20.0,4,14,33.0,92.4,59.4,180.0,-8.85
23065,12.5,10.0,-20.0,1,9,12.5,90.0,77.5,620.0,-8.0
23254,4.15,3.32,-20.0,4,27,16.6,89.64,73.04,440.0,-8.81
23021,4.15,3.32,-20.0,4,27,16.6,89.64,73.04,440.0,-8.98
20998,2.55,2.35,-7.9,7,38,17.85,89.25,71.4,399.98,-9.83
23312,4.15,3.32,-20.0,24,26,99.6,86.32,-13.28,-13.33,-8.45
23081,8.25,6.6,-20.0,1,13,8.25,85.8,77.55,940.0,-8.87
22839,12.75,11.98,-6.07,8,7,102.0,83.83,-18.17,-17.81,3.6
22427,5.45,4.77,-12.45,12,17,65.4,81.11,15.71,24.03,-8.28
21217,8.95,7.96,-11.06,24,10,214.8,79.6,-135.2,-62.94,-7.87
23050,8.25,6.6,-20.0,2,12,16.5,79.2,62.7,380.0,-8.04
23075,4.15,3.32,-20.0,1,23,4.15,76.36,72.21,1740.0,-8.2
23238,4.15,3.32,-20.0,6,23,24.9,76.36,51.46,206.67,-8.25
22777,7.65,6.8,-11.11,109,11,833.85,74.8,-759.05,-91.03,-7.58
22941,8.5,6.8,-20.0,4,11,34.0,74.8,40.8,120.0,-7.49
21188,2.55,2.36,-7.45,24,31,61.2,73.16,11.96,19.54,-6.81
23391,4.15,3.32,-20.0,4,22,16.6,73.04,56.44,340.0,-8.81
23388,4.15,3.32,-20.0,4,22,16.6,73.04,56.44,340.0,-8.67
23389,4.15,3.32,-20.0,4,22,16.6,73.04,56.44,340.0,-8.88
23052,8.25,6.6,-20.0,2,11,16.5,72.6,56.1,340.0,-7.92
23181,7.5,6.6,-12.0,8,11,60.0,72.6,12.6,21.0,-8.0
23051,8.25,6.6,-20.0,2,11,16.5,72.6,56.1,340.0,-7.68
21821,3.39,2.99,-11.74,6,24,20.34,71.81,51.47,253.04,-8.63
22837,4.65,3.72,-20.0,4,19,18.6,70.68,52.08,280.0,-7.34
37342,0.79,0.95,20.88,1,74,0.79,70.67,69.88,8845.27,7.08
23073,12.5,10.0,-20.0,1,7,12.5,70.0,57.5,460.0,-7.57
23018,12.5,10.0,-20.0,1,7,12.5,70.0,57.5,460.0,-7.79
90032,3.13,4.58,46.45,9,15,28.17,68.76,40.59,144.09,-7.01
22636,8.5,6.8,-20.0,2,10,17.0,68.0,51.0,300.0,-6.67
23341,8.5,6.8,-20.0,2,10,17.0,68.0,51.0,300.0,-7.7
22844,8.5,6.8,-20.0,1,10,8.5,68.0,59.5,700.0,-7.66
22626,8.5,6.8,-20.0,2,10,17.0,68.0,51.0,300.0,-7.89
23342,8.5,6.8,-20.0,2,10,17.0,68.0,51.0,300.0,-7.83
22192,8.5,6.8,-20.0,2,10,17.0,68.0,51.0,300.0,-7.25
21845,0.79,0.88,11.25,36,76,28.44,66.79,38.35,134.86,-6.07
84806B,0.39,1.11,185.36,24,60,9.36,66.77,57.41,613.39,-6.65
23174,4.15,3.33,-19.71,4,20,16.6,66.64,50.04,301.44,-7.23
23466,8.25,6.6,-20.0,2,10,16.5,66.0,49.5,300.0,-7.5
84997C,4.15,3.24,-21.99,8,20,33.2,64.75,31.55,95.04,-8.02
22942,2.95,5.87,98.83,12,11,35.4,64.52,29.12,82.26,-6.7
22375,4.25,3.4,-20.12,1,19,4.25,64.5,60.26,1417.76,-9.88
21137,3.39,3.07,-9.43,24,21,81.36,64.48,-16.88,-20.75,-7.42
23079,8.95,7.16,-20.0,1,9,8.95,64.44,55.49,620.0,-7.13
21056,8.95,7.16,-20.0,1,9,8.95,64.44,55.49,620.0,-7.75
21630,8.95,7.12,-20.47,1,9,8.95,64.06,55.11,615.77,-7.79
23390,4.15,3.32,-20.0,4,19,16.6,63.08,46.48,280.0,-8.88
23456,4.15,3.32,-20.0,1,19,4.15,63.08,58.93,1420.0,-8.59
23237,4.15,3.32,-20.05,6,19,24.9,63.04,38.14,153.17,-7.31
82486,8.95,7.0,-21.77,4,9,35.8,63.02,27.22,76.02,-6.46
21664,3.75,3.0,-20.0,3,21,11.25,63.0,51.75,460.0,-9.22
22354,3.75,3.12,-16.77,2,20,7.5,62.42,54.92,732.3,-6.33
21352,2.95,3.47,17.47,1,18,2.95,62.38,59.43,2014.51,-4.63
84804B,0.79,1.67,111.24,36,37,28.44,61.75,33.31,117.11,-4.1
21843,10.95,8.76,-20.04,1,7,10.95,61.29,50.34,459.69,-6.81
84609,8.5,6.8,-20.0,4,9,34.0,61.2,27.2,80.0,-4.5
22169,8.5,6.8,-20.0,2,9,17.0,61.2,44.2,260.0,-6.89
22191,8.5,6.8,-20.02,2,9,17.0,61.18,44.18,259.9,-7.14
22193,8.5,6.8,-20.02,4,9,34.0,61.18,27.18,79.95,-7.24
22624,8.5,6.8,-20.06,4,9,34.0,61.16,27.16,79.88,-7.15
23531,4.76,5.55,16.65,12,11,57.12,61.08,3.96,6.93,-7.0
84549,1.65,1.27,-23.23,1,48,1.65,60.8,59.15,3584.85,-6.95
22220,2.95,6.73,128.22,6,9,17.7,60.59,42.89,242.34,-5.79
23553,10.95,10.0,-8.68,10,6,109.5,60.0,-49.5,-45.21,-5.99
22693,1.25,1.0,-20.0,24,60,30.0,60.0,30.0,100.0,-4.18
23017,12.5,10.0,-20.0,2,6,25.0,60.0,35.0,140.0,-6.19
